Chromosome	Start	Stop	Name	Size	Orientation	RefSeq	FlyBase	CStart	CStop	NumExons
chr2R	12176431	12178979	CR43730	2548	-	NR_124571	CR43730	12178979	12178979	5
chr2R	18595281	18596047	CR43735	766	-	NR_073895	CR43735	18596047	18596047	2
chr2L	2181961	2185495	CR43751	3534	+	NR_073692	CR43751	2185495	2185495	2
chr2L	8295157	8295666	CR43752	509	+	NR_073743	CR43752	8295666	8295666	1
chr2L	2271318	2279714	CR43753	8396	-	NR_073698	CR43753	2279714	2279714	2
chr2L	2283704	2285003	CR43754	1299	-	NR_073702	CR43754	2285003	2285003	2
chr2L	15522001	15523993	CR43761	1992	+	NR_073784	CR43761	15523993	15523993	3
chr2L	21894226	21895350	CR43762	1124	+	NR_073819	CR43762	21895350	21895350	2
chr2L	15846953	15847381	CR43763	428	+	NR_073785	CR43763	15847381	15847381	1
chr2L	15295635	15297699	CR43764	2064	-	NR_073781	CR43764	15297699	15297699	3
chr2L	22239182	22239713	CR43765	531	-	NR_073822	CR43765	22239713	22239713	3
chr2L	9848288	9848794	CR43766	506	+	NR_073750	CR43766	9848794	9848794	2
chr2L	1158575	1159355	CR43767	780	-	NR_073686	CR43767	1159355	1159355	1
chrX	16782874	16783668	CR43768	794	-	NR_073659	CR43768	16783668	16783668	1
chr2L	9470325	9470861	CR43769	536	+	NR_073747	CR43769	9470861	9470861	2
chr2R	7320154	7320803	CR43771	649	-	NR_073869	CR43771	7320803	7320803	1
chr3L	737051	737479	CR43785	428	-	NR_073906	CR43785	737479	737479	2
chr2R	17543814	17544685	CR43786	871	-	NR_073892	CR43786	17544685	17544685	1
chr2R	20518423	20520455	CR43787	2032	-	NR_073900	CR43787	20520455	20520455	2
chr2R	19364099	19364601	CR43792	502	+	NR_073897	CR43792	19364601	19364601	1
chr2R	19364600	19365000	CR43793	400	-	NR_073898	CR43793	19365000	19365000	1
chr2R	19394600	19395355	CR43794	755	-	NR_073899	CR43794	19395355	19395355	2
chr2L	6074250	6074796	CR43801	546	-	NR_073731	CR43801	6074796	6074796	1
chr2L	17042480	17043165	CR43802	685	-	NR_073794	CR43802	17043165	17043165	2
chr2L	15960242	15961190	CR43803	948	+	NR_073786	CR43803	15961190	15961190	3
chr2L	18773313	18773837	CR43804	524	-	NR_073797	CR43804	18773837	18773837	1
chr2L	14840433	14842209	CR43805	1776	-	NR_124269	CR43805	14842209	14842209	2
chr2L	16178317	16179188	CR43806	871	-	NR_133084	CR43806	16179188	16179188	2
chr2L	10862193	10864697	CR43807	2504	-	NR_073756	CR43807	10864697	10864697	3
chr2L	5904957	5906250	CR43808	1293	-	NR_073728	CR43808	5906250	5906250	2
chr2L	21102585	21104298	CR43809	1713	-	NR_073816	CR43809	21104298	21104298	2
chr2R	9671499	9672001	CR43810	502	+	NR_073875	CR43810	9672001	9672001	2
chr2R	9679450	9680092	CR43811	642	+	NR_073876	CR43811	9680092	9680092	2
chr2R	16152360	16152650	CR43812	290	-	NR_073891	CR43812	16152650	16152650	1
chr2L	18805444	18806205	CR43817	761	-	NR_073798	CR43817	18806205	18806205	2
chr2L	12807642	12808340	CR43818	698	-	NR_073765	CR43818	12808340	12808340	2
chr2L	17085649	17086419	CR43819	770	+	NR_124320	CR43819	17086419	17086419	2
chr2L	5062635	5063442	CR43820	807	-	NR_073722	CR43820	5063442	5063442	1
chr2L	2797831	2798321	CR43821	490	+	NR_073706	CR43821	2798321	2798321	1
chr2L	3575349	3575806	CR43822	457	+	NR_073710	CR43822	3575806	3575806	1
chr2L	3588484	3590301	CR43823	1817	-	NR_073711	CR43823	3590301	3590301	2
chr2L	4963975	4965425	CR43824	1450	-	NR_073721	CR43824	4965425	4965425	2
chr2L	16001784	16002401	CR43825	617	+	NR_073787	CR43825	16002401	16002401	3
chr2L	16003755	16004292	CR43826	537	-	NR_073788	CR43826	16004292	16004292	2
chr2L	19922963	19923574	CR43827	611	+	NR_073812	CR43827	19923574	19923574	2
chr2L	19919844	19921926	CR43828	2082	+	NR_073809	CR43828	19921926	19921926	1
chr2R	10882063	10882700	CR43830	637	+	NR_124553	CR43830	10882700	10882700	2
chr2R	11046700	11047050	CR43831	350	-	NR_073878	CR43831	11047050	11047050	1
chrX	6486565	6487102	CR43832	537	-	NR_073634	CR43832	6487102	6487102	2
chrX	13649354	13650046	CR43833	692	+	NR_073655	CR43833	13650046	13650046	2
chrX	8378226	8378613	CR43834	387	+	NR_073639	CR43834	8378613	8378613	2
chrX	7394475	7395416	CR43835	941	+	NR_073638	CR43835	7395416	7395416	4
chrX	8866940	8943024	CR43836	76084	-	NR_073642	CR43836	8943024	8943024	4
chrX	6889914	6891832	CR43837	1918	-	NR_073637	CR43837	6891832	6891832	2
chrX	20630762	20631980	CR43838	1218	-	NR_073666	CR43838	20631980	20631980	2
chr2L	19470843	19471627	CR43839	784	-	NR_073807	CR43839	19471627	19471627	1
chr2L	16216238	16217044	CR43840	806	-	NR_073790	CR43840	16217044	16217044	2
chrX	18354850	18356856	CR43842	2006	+	NR_073664	CR43842	18356856	18356856	3
chr3R	1348020	1348842	CR43845	822	-	NR_073983	CR43845	1348842	1348842	2
chr3R	18676809	18677526	CR43846	717	-	NR_074050	CR43846	18677526	18677526	1
chr3R	21622312	21623500	CR43847	1188	-	NR_074060	CR43847	21623500	21623500	3
chr3R	9400546	9401201	CR43848	655	+	NR_074009	CR43848	9401201	9401201	1
chr3R	11493699	11494398	CR43849	699	+	NR_074016	CR43849	11494398	11494398	2
chr2L	2646029	2646281	CR43852	252	+	NR_073705	CR43852	2646281	2646281	1
chr2L	15119782	15120819	CR43853	1037	+	NR_073777	CR43853	15120819	15120819	2
chr2L	15129700	15130205	CR43854	505	+	NR_073778	CR43854	15130205	15130205	1
chr2L	8590369	8594489	CR43855	4120	-	NR_073744	CR43855	8594489	8594489	2
chr2L	15011814	15012667	CR43856	853	-	NR_073776	CR43856	15012667	15012667	1
chr2L	7423819	7425932	CR43857	2113	+	NR_073736	CR43857	7425932	7425932	2
chr2L	16861496	16862431	CR43858	935	+	NR_073793	CR43858	16862431	16862431	2
chr2L	11205527	11206092	CR43859	565	-	NR_073757	CR43859	11206092	11206092	1
chrX	20557845	20558680	CR43862	835	+	NR_073665	CR43862	20558680	20558680	3
chrX	48077	48666	CR43863	589	-	NR_073626	CR43863	48666	48666	2
chrX	1796060	1797766	CR43864	1706	+	NR_073628	CR43864	1797766	1797766	2
chr2L	9372101	9374004	CR43865	1903	+	NR_073746	CR43865	9374004	9374004	3
chr2L	6004166	6006333	CR43866	2167	+	NR_073730	CR43866	6006333	6006333	4
chr3L	12491586	12493407	CR43868	1821	+	NR_073926	CR43868	12493407	12493407	4
chr3L	17238981	17257390	CR43870	18409	+	NR_073943	CR43870	17257390	17257390	2
chr3L	20292509	20295395	CR43872	2886	+	NR_073956	CR43872	20295395	20295395	2
chr3L	17252760	17253549	CR43874	789	+	NR_073944	CR43874	17253549	17253549	1
chr3L	20308233	20310383	CR43875	2150	-	NR_073957	CR43875	20310383	20310383	2
chr3L	20258697	20259300	CR43876	603	-	NR_073954	CR43876	20259300	20259300	4
chr3L	21521645	21522215	CR43877	570	+	NR_073965	CR43877	21522215	21522215	2
chr3L	21877610	21880139	CR43878	2529	-	NR_073972	CR43878	21880139	21880139	2
chr3L	4703377	4703979	CR43879	602	+	NR_073913	CR43879	4703979	4703979	2
chr3L	4755604	4756142	CR43881	538	+	NR_073915	CR43881	4756142	4756142	1
chr3L	4745910	4746632	CR43882	722	-	NR_073914	CR43882	4746632	4746632	2
chr3L	820758	821512	CR43883	754	+	NR_073908	CR43883	821512	821512	1
chr3L	5050837	5051438	CR43884	601	-	NR_073917	CR43884	5051438	5051438	2
chr3L	11686234	11686761	CR43887	527	+	NR_073924	CR43887	11686761	11686761	1
chr3L	21728965	21729301	CR43888	336	+	NR_073971	CR43888	21729301	21729301	1
chr3L	19902464	19903303	CR43889	839	+	NR_073953	CR43889	19903303	19903303	2
chr3L	20283801	20284252	CR43890	451	-	NR_125015	CR43890	20284252	20284252	2
chr3L	16207027	16207476	CR43891	449	+	NR_124957	CR43891	16207476	16207476	1
chr3L	19232963	19233239	CR43892	276	-	NR_073949	CR43892	19233239	19233239	2
chr3L	19222160	19223202	CR43893	1042	+	NR_073948	CR43893	19223202	19223202	1
chr2R	12109140	12110692	CR43898	1552	+	NR_073879	CR43898	12110692	12110692	2
chrX	10104213	10104669	CR43899	456	+	NR_073645	CR43899	10104669	10104669	2
chr2R	8146913	8148318	CR43900	1405	+	NR_073871	CR43900	8148318	8148318	3
chr3R	19519727	19520410	CR43903	683	+	NR_074054	CR43903	19520410	19520410	1
chr2R	2046101	2047140	CR43904	1039	+	NR_124442	CR43904	2047140	2047140	2
chr2R	2420099	2421100	CR43905	1001	-	NR_073842	CR43905	2421100	2421100	1
chrX	152497	161286	CR43906	8789	+	NR_073627	CR43906	161286	161286	2
chr2R	7503699	7504199	CR43907	500	+	NR_073870	CR43907	7504199	7504199	1
chrX	11731665	11732059	CR43908	394	+	NR_073648	CR43908	11732059	11732059	1
chr2R	8481896	8483154	CR43909	1258	-	NR_073872	CR43909	8483154	8483154	1
chr3L	8562434	8562964	CR43910	530	+	NR_073920	CR43910	8562964	8562964	1
chr3L	13295508	13295910	CR43911	402	+	NR_073932	CR43911	13295910	13295910	1
chr3L	13280868	13284870	CR43912	4002	-	NR_133231	CR43912	13284870	13284870	2
chr3L	13276762	13277596	CR43913	834	-	NR_073929	CR43913	13277596	13277596	2
chr3L	13209202	13210627	CR43914	1425	+	NR_124919	CR43914	13210627	13210627	2
chr3L	3940518	3941301	CR43916	783	+	NR_073912	CR43916	3941301	3941301	2
chr3L	3884480	3884801	CR43917	321	-	NR_073911	CR43917	3884801	3884801	2
chr2R	9111679	9111967	CR43918	288	-	NR_073874	CR43918	9111967	9111967	1
chr2L	5925204	5925961	CR43926	757	-	NR_073729	CR43926	5925961	5925961	1
chr2L	22644035	22644527	CR43927	492	-	NR_073823	CR43927	22644527	22644527	2
chr2L	3476342	3477648	CR43928	1306	+	NR_124049	CR43928	3477648	3477648	2
chr3L	20914281	20914849	CR43929	568	-	NR_073964	CR43929	20914849	20914849	2
chr3L	20906257	20906805	CR43930	548	-	NR_073963	CR43930	20906805	20906805	2
chr3L	3814697	3815240	CR43932	543	-	NR_073910	CR43932	3815240	3815240	3
chr3L	21489492	21491930	CR43933	2438	+	NR_125034	CR43933	21491930	21491930	2
chr2L	11840454	11840913	CR43936	459	-	NR_124208	CR43936	11840913	11840913	2
chr2L	11839297	11839660	CR43937	363	-	NR_073763	CR43937	11839660	11839660	1
chr3L	21569132	21570319	CR43939	1187	-	NR_073966	CR43939	21570319	21570319	3
chr3L	21587696	21588560	CR43940	864	+	NR_073967	CR43940	21588560	21588560	1
chr3L	23874834	23876242	CR43941	1408	-	NR_073975	CR43941	23876242	23876242	2
chr3L	23902218	23903223	CR43942	1005	+	NR_073976	CR43942	23903223	23903223	2
chr3L	20433053	20433663	CR43943	610	+	NR_073959	CR43943	20433663	20433663	1
chr3L	20382952	20384487	CR43944	1535	-	NR_073958	CR43944	20384487	20384487	1
chr3L	20722373	20722756	CR43945	383	-	NR_073960	CR43945	20722756	20722756	1
chr2R	5864500	5867089	CR43948	2589	-	NR_073868	CR43948	5867089	5867089	1
chr3L	16013508	16014606	CR43949	1098	-	NR_124952	CR43949	16014606	16014606	1
chr3L	16010264	16011417	CR43950	1153	-	NR_124951	CR43950	16011417	16011417	1
chr3L	16042334	16043403	CR43951	1069	+	NR_073940	CR43951	16043403	16043403	2
chr3L	6029589	6030015	CR43952	426	+	NR_124806	CR43952	6030015	6030015	1
chr3L	8224060	8224797	CR43953	737	+	NR_073919	CR43953	8224797	8224797	2
chr4	153299	153500	CR43956	201	-	NR_073614	CR43956	153500	153500	1
chr4	77122	83750	CR43957	6628	+	NR_073611	CR43957	83750	83750	4
chr4	577650	578480	CR43958	830	-	NR_073619	CR43958	578480	578480	2
chrX	10150661	10155837	CR43959	5176	+	NR_073646	CR43959	10155837	10155837	2
chrX	11937730	12010074	CR43960	72344	+	NR_073652	CR43960	12010074	12010074	4
chrX	11961232	11964172	CR43961	2940	-	NR_123879	CR43961	11964172	11964172	3
chrX	21916288	21916727	CR43962	439	-	NR_123989	CR43962	21916727	21916727	2
chrX	12611656	12624986	CR43963	13330	-	NR_073653	CR43963	12624986	12624986	2
chr2R	14662915	14664671	CR43964	1756	+	NR_073888	CR43964	14664671	14664671	3
chr3L	19398638	19399113	CR43966	475	+	NR_073951	CR43966	19399113	19399113	2
chr3L	23176698	23177013	CR43967	315	-	NR_073974	CR43967	23177013	23177013	2
chr3L	393593	394299	CR43969	706	+	NR_073903	CR43969	394299	394299	1
chr3L	8908332	8908768	CR43970	436	+	NR_073921	CR43970	8908768	8908768	2
chr3L	15101100	15102035	CR43971	935	-	NR_073936	CR43971	15102035	15102035	2
chr3L	15091633	15092602	CR43973	969	-	NR_073934	CR43973	15092602	15092602	3
chr3L	8075023	8076300	CR43974	1277	-	NR_073918	CR43974	8076300	8076300	3
chr3L	21660523	21661157	CR43977	634	+	NR_073968	CR43977	21661157	21661157	1
chr3L	21677099	21678051	CR43978	952	+	NR_073970	CR43978	21678051	21678051	1
chr3L	21671101	21672813	CR43979	1712	+	NR_073969	CR43979	21672813	21672813	1
chrX	17751109	17752117	CR43981	1008	-	NR_073662	CR43981	17752117	17752117	3
chr2R	17650499	17651499	CR43983	1000	-	NR_073893	CR43983	17651499	17651499	1
chr2R	17652500	17652800	CR43984	300	-	NR_073894	CR43984	17652800	17652800	1
chr3L	18716906	18717412	CR43985	506	+	NR_073946	CR43985	18717412	18717412	1
chr3L	18686451	18687052	CR43987	601	-	NR_073945	CR43987	18687052	18687052	1
chr3L	72195	73101	CR43988	906	-	NR_073902	CR43988	73101	73101	2
chr3L	11156948	11157901	CR43989	953	-	NR_073923	CR43989	11157901	11157901	1
chr3L	10405006	10405477	CR43990	471	-	NR_073922	CR43990	10405477	10405477	1
chr3L	12238609	12239148	CR43991	539	-	NR_124899	CR43991	12239148	12239148	1
chr3L	15327881	15329271	CR43992	1390	+	NR_073937	CR43992	15329271	15329271	2
chr3L	12020900	12021253	CR43994	353	+	NR_073925	CR43994	12021253	12021253	1
chr3L	22065468	22065720	CR43995	252	+	NR_073973	CR43995	22065720	22065720	1
chrX	9585502	9586450	CR44016	948	-	NR_073644	CR44016	9586450	9586450	2
chr3R	2234699	2235300	CR44017	601	-	NR_073986	CR44017	2235300	2235300	1
chr3R	6465000	6471495	CR44018	6495	+	NR_073995	CR44018	6471495	6471495	2
chr3R	4760000	4761009	CR44020	1009	-	NR_073991	CR44020	4761009	4761009	2
chr3R	20345346	20345800	CR44021	454	-	NR_074058	CR44021	20345800	20345800	1
chr3R	25284500	25285000	CR44022	500	-	NR_074064	CR44022	25285000	25285000	1
chr4	297148	298800	CR44023	1652	+	NR_073615	CR44023	298800	298800	1
chr4	447956	452395	CR44024	4439	+	NR_073617	CR44024	452395	452395	2
chrX	17076912	17077275	CR44026	363	-	NR_073660	CR44026	17077275	17077275	2
chr4	416021	416580	CR44027	559	+	NR_073616	CR44027	416580	416580	1
chr4	899999	905378	CR44029	5379	+	NR_123750	CR44029	905378	905378	1
chr4	980300	983318	CR44030	3018	+	NR_073621	CR44030	983318	983318	3
chr4	1048488	1049985	CR44031	1497	+	NR_073624	CR44031	1049985	1049985	2
chr3R	17324353	17325127	CR44032	774	-	NR_125223	CR44032	17325127	17325127	1
chr3R	17360150	17361089	CR44033	939	+	NR_074038	CR44033	17361089	17361089	1
chr3R	17440741	17441462	CR44034	721	-	NR_074040	CR44034	17441462	17441462	2
chr3R	5635741	5639651	CR44035	3910	-	NR_073992	CR44035	5639651	5639651	2
chr3R	8065398	8066249	CR44036	851	+	NR_073999	CR44036	8066249	8066249	1
chr3R	8094505	8095945	CR44039	1440	+	NR_074000	CR44039	8095945	8095945	2
chr3R	26747403	26748105	CR44041	702	+	NR_074069	CR44041	26748105	26748105	1
chr2RHet	474799	475800	CR44042	1001	-	NR_074071	CR44042	475800	475800	1
chr2RHet	495553	498101	CR44043	2548	-	NR_074072	CR44043	498101	498101	2
chr3R	25860261	25860629	CR44045	368	-	NR_074065	CR44045	25860629	25860629	2
chr3R	25875014	25877933	CR44046	2919	+	NR_074066	CR44046	25877933	25877933	3
chr3R	16652816	16653934	CR44047	1118	+	NR_074031	CR44047	16653934	16653934	2
chr3R	16704126	16705106	CR44048	980	-	NR_074033	CR44048	16705106	16705106	1
chr3R	23085771	23087670	CR44049	1899	+	NR_074063	CR44049	23087670	23087670	2
chr3L	15877692	15878847	CR44050	1155	-	NR_073939	CR44050	15878847	15878847	1
chr3L	15869190	15869572	CR44051	382	-	NR_073938	CR44051	15869572	15869572	1
chr3R	19532082	19532868	CR44052	786	-	NR_074055	CR44052	19532868	19532868	3
chrX	16700079	16703263	CR44053	3184	-	NR_073657	CR44053	16703263	16703263	3
chrX	11033640	11035271	CR44054	1631	+	NR_073647	CR44054	11035271	11035271	3
chr2L	2083361	2084417	CR44055	1056	+	NR_073691	CR44055	2084417	2084417	2
chr2L	21106804	21107306	CR44056	502	-	NR_073817	CR44056	21107306	21107306	2
chr2L	4185400	4186187	CR44057	787	+	NR_073716	CR44057	4186187	4186187	2
chr2L	4241069	4242397	CR44058	1328	+	NR_124065	CR44058	4242397	4242397	2
chr2L	4246208	4249676	CR44059	3468	-	NR_073718	CR44059	4249676	4249676	2
chr2L	850701	851163	CR44060	462	+	NR_073684	CR44060	851163	851163	1
chr2L	912980	913305	CR44061	325	-	NR_073685	CR44061	913305	913305	1
chr3R	18375753	18378409	CR44062	2656	-	NR_074047	CR44062	18378409	18378409	4
chr2L	7369645	7370503	CR44063	858	-	NR_073734	CR44063	7370503	7370503	2
chr2L	1500829	1504204	CR44064	3375	+	NR_073687	CR44064	1504204	1504204	3
chr2L	2190190	2191272	CR44065	1082	+	NR_073694	CR44065	2191272	2191272	1
chr2L	2186974	2187970	CR44066	996	-	NR_073693	CR44066	2187970	2187970	1
chr2R	20663233	20667510	CR44067	4277	+	NR_073901	CR44067	20667510	20667510	2
chr2R	4044665	4045765	CR44068	1100	+	NR_073859	CR44068	4045765	4045765	3
chr2R	5497968	5503122	CR44069	5154	+	NR_073862	CR44069	5503122	5503122	3
chr2R	5524500	5525178	CR44070	678	-	NR_073863	CR44070	5525178	5525178	2
chr2R	3230849	3231200	CR44071	351	+	NR_073851	CR44071	3231200	3231200	1
chr2L	1839493	1839896	CR44073	403	-	NR_073688	CR44073	1839896	1839896	1
chr2L	1840069	1840808	CR44074	739	-	NR_073689	CR44074	1840808	1840808	2
chr2L	1872692	1873511	CR44075	819	+	NR_073690	CR44075	1873511	1873511	1
chr2L	3815437	3815948	CR44076	511	+	NR_073713	CR44076	3815948	3815948	1
chr2L	3817723	3818534	CR44077	811	+	NR_073714	CR44077	3818534	3818534	1
chr2L	3861404	3862097	CR44078	693	-	NR_073715	CR44078	3862097	3862097	2
chr2L	4259945	4261101	CR44080	1156	-	NR_073719	CR44080	4261101	4261101	2
chr2L	6812639	6813110	CR44081	471	+	NR_073733	CR44081	6813110	6813110	1
chr2L	7519678	7520080	CR44082	402	+	NR_073737	CR44082	7520080	7520080	1
chr2L	13284926	13286538	CR44083	1612	+	NR_073770	CR44083	13286538	13286538	2
chrX	6878003	6878531	CR44084	528	+	NR_073635	CR44084	6878531	6878531	2
chr3R	17671174	17672433	CR44087	1259	+	NR_074043	CR44087	17672433	17672433	2
chr3R	17262072	17262423	CR44089	351	-	NR_074037	CR44089	17262423	17262423	1
chr3R	27506317	27506741	CR44091	424	-	NR_074070	CR44091	27506741	27506741	2
chr3R	20056907	20057441	CR44092	534	+	NR_074057	CR44092	20057441	20057441	1
chr3R	1485198	1486292	CR44093	1094	+	NR_073985	CR44093	1486292	1486292	3
chr3R	10394683	10395593	CR44095	910	+	NR_074015	CR44095	10395593	10395593	2
chr3R	17546688	17548956	CR44096	2268	+	NR_125224	CR44096	17548956	17548956	2
chr3R	19880112	19880814	CR44097	702	+	NR_125240	CR44097	19880814	19880814	2
chr2R	395499	395950	CR44100	451	+	NR_073824	CR44100	395950	395950	2
chr3R	1194202	1194528	CR44103	326	+	NR_073982	CR44103	1194528	1194528	2
chr2R	919499	920300	CR44105	801	-	NR_073827	CR44105	920300	920300	1
chr3R	16737361	16738591	CR44106	1230	+	NR_133426	CR44106	16738591	16738591	3
chr3R	14974843	14975279	CR44107	436	+	NR_074028	CR44107	14975279	14975279	2
chrX	5808417	5808655	CR44108	238	+	NR_073633	CR44108	5808655	5808655	2
chrX	22166360	22168499	CR44109	2139	-	NR_073668	CR44109	22168499	22168499	3
chrX	14411322	14413549	CR44110	2227	+	NR_073656	CR44110	14413549	14413549	2
chrX	8813672	8814500	CR44111	828	-	NR_073640	CR44111	8814500	8814500	2
chr2L	2532998	2533569	CR44112	571	-	NR_073703	CR44112	2533569	2533569	1
chr2L	2555749	2556089	CR44113	340	+	NR_073704	CR44113	2556089	2556089	1
chr2L	2226752	2227604	CR44114	852	-	NR_073695	CR44114	2227604	2227604	2
chr2L	2236346	2237022	CR44115	676	+	NR_073696	CR44115	2237022	2237022	1
chr2L	8194508	8197049	CR44116	2541	+	NR_073739	CR44116	8197049	8197049	1
chrX	3687006	3687434	CR44117	428	-	NR_073629	CR44117	3687434	3687434	1
chrX	3687006	3687434	CR44118	428	-	NR_073630	CR44118	3687434	3687434	1
chr2L	8201556	8205298	CR44119	3742	+	NR_073740	CR44119	8205298	8205298	3
chr2L	8205366	8205648	CR44120	282	-	NR_073741	CR44120	8205648	8205648	1
chr2L	8205777	8206044	CR44121	267	-	NR_073742	CR44121	8206044	8206044	1
chrX	17472721	17473168	CR44124	447	+	NR_073661	CR44124	17473168	17473168	2
chr2R	1772398	1774000	CR44125	1602	+	NR_073833	CR44125	1774000	1774000	1
chr2R	1824904	1826499	CR44126	1595	+	NR_073834	CR44126	1826499	1826499	2
chr2R	1854901	1855219	CR44127	318	-	NR_073835	CR44127	1855219	1855219	2
chrX	16709527	16709978	CR44129	451	-	NR_073658	CR44129	16709978	16709978	2
chr2R	1934674	1935243	CR44130	569	-	NR_073837	CR44130	1935243	1935243	1
chr2R	1956299	1957300	CR44131	1001	+	NR_073838	CR44131	1957300	1957300	1
chr3R	11811902	11819387	CR44133	7485	+	NR_074017	CR44133	11819387	11819387	2
chr3R	262077	262952	CR44134	875	+	NR_073978	CR44134	262952	262952	1
chr3R	7803361	7803900	CR44135	539	-	NR_073998	CR44135	7803900	7803900	1
chr3R	26450550	26451314	CR44136	764	-	NR_074068	CR44136	26451314	26451314	1
chr3R	7462898	7464275	CR44137	1377	+	NR_073997	CR44137	7464275	7464275	3
chr3R	9202624	9203117	CR44138	493	+	NR_074008	CR44138	9203117	9203117	1
chr2L	11721285	11722098	CR44143	813	+	NR_073760	CR44143	11722098	11722098	1
chr2L	11743745	11744422	CR44144	677	-	NR_073762	CR44144	11744422	11744422	1
chr2L	11736401	11737541	CR44145	1140	+	NR_073761	CR44145	11737541	11737541	2
chr2L	20794805	20795255	CR44146	450	+	NR_073815	CR44146	20795255	20795255	2
chr2L	3030411	3030903	CR44147	492	-	NR_073707	CR44147	3030903	3030903	1
chr2L	7684481	7685341	CR44148	860	-	NR_073738	CR44148	7685341	7685341	2
chr2L	9568154	9568785	CR44149	631	-	NR_073748	CR44149	9568785	9568785	1
chr2L	9669639	9671070	CR44150	1431	-	NR_073749	CR44150	9671070	9671070	2
chr2L	16628751	16629173	CR44151	422	-	NR_073791	CR44151	16629173	16629173	1
chr3R	472154	473964	CR44155	1810	-	NR_073979	CR44155	473964	473964	2
chr3R	486248	486661	CR44156	413	-	NR_073980	CR44156	486661	486661	1
chr3R	499698	500332	CR44157	634	+	NR_073981	CR44157	500332	500332	1
chr3R	13217223	13217895	CR44160	672	-	NR_074027	CR44160	13217895	13217895	3
chr2R	2103701	2106124	CR44161	2423	-	NR_073840	CR44161	2106124	2106124	2
chr2R	2569300	2569899	CR44164	599	+	NR_073843	CR44164	2569899	2569899	1
chr2R	2570025	2571254	CR44165	1229	-	NR_073844	CR44165	2571254	2571254	1
chr2R	2729049	2729599	CR44166	550	+	NR_073845	CR44166	2729599	2729599	1
chr2R	19246000	19246484	CR44168	484	-	NR_073896	CR44168	19246484	19246484	1
chr2R	2760653	2767593	CR44169	6940	+	NR_073846	CR44169	2767593	2767593	5
chr2R	2867000	2867700	CR44170	700	+	NR_073848	CR44170	2867700	2867700	1
chr2R	2867899	2868700	CR44171	801	-	NR_124446	CR44171	2868700	2868700	1
chr2R	2910900	2911601	CR44172	701	-	NR_073849	CR44172	2911601	2911601	1
chr3R	15104496	15105450	CR44173	954	-	NR_125208	CR44173	15105450	15105450	2
chr3R	15152537	15153282	CR44175	745	-	NR_125209	CR44175	15153282	15153282	3
chr3R	10247472	10248271	CR44176	799	-	NR_074013	CR44176	10248271	10248271	2
chr3R	10322099	10334709	CR44177	12610	+	NR_074014	CR44177	10334709	10334709	2
chr3R	16914513	16921466	CR44178	6953	+	NR_125218	CR44178	16921466	16921466	2
chr3R	21317006	21318984	CR44179	1978	-	NR_074059	CR44179	21318984	21318984	1
chr2L	10680150	10680480	CR44180	330	-	NR_073754	CR44180	10680480	10680480	1
chr2L	10695057	10698195	CR44181	3138	+	NR_073755	CR44181	10698195	10698195	1
chr2L	11280056	11280577	CR44182	521	-	NR_073758	CR44182	11280577	11280577	1
chr2L	12931550	12932340	CR44183	790	+	NR_073766	CR44183	12932340	12932340	1
chr2L	19019395	19019871	CR44184	476	-	NR_073799	CR44184	19019871	19019871	1
chr2L	135401	136128	CR44185	727	+	NR_073672	CR44185	136128	136128	1
chr2L	136143	136701	CR44186	558	+	NR_073673	CR44186	136701	136701	2
chr2L	20710095	20711006	CR44187	911	+	NR_073813	CR44187	20711006	20711006	1
chr2L	20711201	20712300	CR44188	1099	+	NR_073814	CR44188	20712300	20712300	1
chr2L	19217406	19218135	CR44189	729	+	NR_073804	CR44189	19218135	19218135	2
chr2L	19269113	19272861	CR44190	3748	-	NR_073806	CR44190	19272861	19272861	3
chr2L	19262469	19263057	CR44191	588	+	NR_073805	CR44191	19263057	19263057	1
chr3R	5878567	5880020	CR44192	1453	-	NR_073993	CR44192	5880020	5880020	5
chr2L	15207849	15208768	CR44196	919	+	NR_073779	CR44196	15208768	15208768	1
chr2L	13089802	13090559	CR44197	757	+	NR_073767	CR44197	13090559	13090559	1
chr2L	13118871	13119288	CR44198	417	-	NR_073768	CR44198	13119288	13119288	1
chr2L	13146635	13146908	CR44199	273	+	NR_073769	CR44199	13146908	13146908	1
chr2R	3037299	3037599	CR44200	300	+	NR_073850	CR44200	3037599	3037599	1
chr2R	3282500	3283699	CR44201	1199	+	NR_073852	CR44201	3283699	3283699	1
chr2R	3310000	3310499	CR44202	499	-	NR_124451	CR44202	3310499	3310499	2
chr2R	3317000	3317500	CR44203	500	-	NR_073853	CR44203	3317500	3317500	1
chr2R	3319200	3320001	CR44204	801	-	NR_124452	CR44204	3320001	3320001	1
chr2R	5653852	5655019	CR44205	1167	+	NR_124489	CR44205	5655019	5655019	1
chr2R	9216856	9232313	CR44206	15457	-	NR_133116	CR44206	9232313	9232313	3
chr2R	5662614	5663875	CR44207	1261	+	NR_073865	CR44207	5663875	5663875	2
chr2R	5676043	5678800	CR44208	2757	+	NR_073866	CR44208	5678800	5678800	2
chr2R	3420694	3421002	CR44209	308	-	NR_073856	CR44209	3421002	3421002	2
chr2R	15539999	15540500	CR44212	501	-	NR_073889	CR44212	15540500	15540500	1
chr2R	15540800	15541100	CR44213	300	+	NR_073890	CR44213	15541100	15541100	1
